"ano","tipo_taxi","dia_semana","hora","volume","tarifa_media","distancia_media"
"2022","yellow","sunday","19","258252","15.12","4.67"
"2022","green","sunday","19","5199","14.09","139.0"
"2022","green","sunday","20","4213","14.39","53.97"
"2022","yellow","sunday","20","228236","15.3","5.57"
"2022","yellow","sunday","21","210748","15.73","6.02"
"2022","green","sunday","21","3550","14.84","66.05"
"2022","yellow","sunday","22","178528","17.05","5.45"
"2022","green","sunday","22","2703","15.69","113.3"
"2022","green","sunday","23","2231","15.91","12.35"
"2022","yellow","sunday","23","132436","18.74","6.83"
"2023","yellow","monday","0","77677","26.83","6.21"
"2023","green","monday","0","1392","18.55","3.38"
"2023","yellow","monday","1","39999","25.48","6.39"
"2023","green","monday","1","927","17.8","3.33"
"2023","yellow","monday","2","21051","22.9","4.98"
"2023","green","monday","2","589","19.26","3.43"
"2023","yellow","monday","3","14852","24.75","5.86"
"2023","green","monday","3","530","20.1","3.71"
"2023","green","monday","4","486","23.03","44.42"
"2023","yellow","monday","4","16680","30.43","20.75"
"2023","green","monday","5","567","23.79","29.47"
"2023","yellow","monday","5","31187","28.68","7.08"
"2023","yellow","monday","6","81377","23.65","8.67"
"2023","green","monday","6","1802","18.39","3.72"
"2023","yellow","monday","7","158629","20.26","6.79"
"2023","green","monday","7","4663","17.22","67.39"
"2023","green","monday","8","5699","18.23","13.08"
"2023","yellow","monday","8","213285","19.23","4.42"
"2023","green","monday","9","5930","18.25","19.7"
"2023","yellow","monday","9","225638","19.34","3.74"
"2023","green","monday","10","5783","18.58","40.8"
"2023","yellow","monday","10","233793","19.7","3.58"
"2023","yellow","monday","11","245613","19.89","4.03"
"2023","green","monday","11","5629","18.77","68.58"
"2023","yellow","monday","12","264052","19.97","4.32"
"2023","green","monday","12","5815","18.1","56.62"
"2023","green","monday","13","5712","18.56","110.1"
"2023","yellow","monday","13","274998","21.95","4.39"
"2023","green","monday","14","6629","18.36","16.74"
"2023","yellow","monday","14","298552","21.29","3.99"
"2023","green","monday","15","7308","18.12","70.57"
"2023","yellow","monday","15","309900","21.16","4.61"
"2023","yellow","monday","16","307757","21.25","4.03"
"2023","green","monday","16","7928","17.56","6.12"
"2023","green","monday","17","8131","16.72","28.65"
"2023","yellow","monday","17","335085","19.65","4.51"
"2023","green","monday","18","8228","15.4","7.62"
"2023","yellow","monday","18","343092","18.06","3.34"
"2023","green","monday","19","6296","15.63","17.63"
"2023","yellow","monday","19","291334","18.54","3.92"
"2023","yellow","monday","20","265280","19.29","3.88"
"2023","green","monday","20","4617","16.16","5.94"
"2023","green","monday","21","3712","17.4","8.8"
"2023","yellow","monday","21","252907","19.74","4.03"
"2023","green","monday","22","2757","18.47","3.39"
"2023","yellow","monday","22","201374","21.68","4.59"
"2023","green","monday","23","1900","19.06","3.52"
"2023","yellow","monday","23","132657","24.95","5.72"
"2023","yellow","tuesday","0","70835","25.73","5.73"
"2023","green","tuesday","0","1300","18.66","11.12"
"2023","green","tuesday","1","765","19.15","3.63"
"2023","yellow","tuesday","1","32429","25.24","6.64"
"2023","green","tuesday","2","480","19.53","3.67"
"2023","yellow","tuesday","2","16705","23.71","7.31"
"2023","yellow","tuesday","3","10521","26.05","5.78"
"2023","green","tuesday","3","318","21.0","56.5"
"2023","yellow","tuesday","4","12977","31.11","38.04"
"2023","green","tuesday","4","295","24.55","128.16"
"2023","green","tuesday","5","475","23.03","28.45"
"2023","yellow","tuesday","5","31230","26.45","18.45"
"2023","yellow","tuesday","6","87662","21.41","8.96"
"2023","green","tuesday","6","1880","17.0","22.87"
"2023","yellow","tuesday","7","187436","18.28","5.0"
"2023","green","tuesday","7","5056","16.59","10.09"
"2023","yellow","tuesday","8","257454","18.32","4.47"
"2023","green","tuesday","8","6322","17.77","25.74"
"2023","green","tuesday","9","6437","18.19","34.47"
"2023","yellow","tuesday","9","270526","18.91","4.26"
"2023","green","tuesday","10","6329","18.64","29.91"
"2023","yellow","tuesday","10","268938","20.0","3.42"
"2023","yellow","tuesday","11","279581","19.65","3.15"
"2023","green","tuesday","11","6000","19.01","20.8"
"2023","green","tuesday","12","6120","18.6","24.06"
"2023","yellow","tuesday","12","295490","19.74","3.41"
"2023","yellow","tuesday","13","302105","20.3","3.99"
"2023","green","tuesday","13","5976","18.99","42.6"
"2023","green","tuesday","14","6855","18.95","13.38"
"2023","yellow","tuesday","14","333171","20.98","3.7"
"2023","yellow","tuesday","15","341329","20.85","4.34"
"2023","green","tuesday","15","7535","18.61","5.02"
"2023","yellow","tuesday","16","340744","20.85","3.48"
"2023","green","tuesday","16","8359","17.53","2.88"
"2023","green","tuesday","17","8641","17.16","19.8"
"2023","yellow","tuesday","17","378820","19.42","4.2"
"2023","yellow","tuesday","18","405178","17.81","3.19"
"2023","green","tuesday","18","8606","15.9","6.98"
"2023","yellow","tuesday","19","347866","17.83","3.8"
"2023","green","tuesday","19","6736","15.35","2.61"
"2023","green","tuesday","20","5093","16.62","5.07"
"2023","yellow","tuesday","20","324323","18.3","3.48"
"2023","green","tuesday","21","4306","18.47","24.76"
"2023","yellow","tuesday","21","330340","18.31","3.85"
"2023","yellow","tuesday","22","278524","19.49","3.95"
"2023","green","tuesday","22","3227","19.71","6.76"
"2023","yellow","tuesday","23","184729","21.36","4.5"
"2023","green","tuesday","23","2162","18.43","5.04"
"2023","green","wednesday","0","1487","18.06","3.27"
"2023","yellow","wednesday","0","93387","22.16","4.86"
"2023","yellow","wednesday","1","42734","21.09","4.46"
"2023","green","wednesday","1","924","17.49","3.18"
"2023","green","wednesday","2","589","16.5","3.02"
"2023","yellow","wednesday","2","21624","20.13","4.21"
"2023","yellow","wednesday","3","13782","22.28","11.52"
"2023","green","wednesday","3","517","17.15","3.36"
"2023","green","wednesday","4","426","22.55","110.18"
"2023","yellow","wednesday","4","14972","30.47","14.11"
"2023","green","wednesday","5","545","24.33","76.32"
"2023","yellow","wednesday","5","31828","26.59","19.02"
"2023","yellow","wednesday","6","89058","20.93","8.61"
"2023","green","wednesday","6","1965","17.39","64.51"
"2023","yellow","wednesday","7","192450","18.23","4.36"
"2023","green","wednesday","7","5083","16.89","62.53"
"2023","yellow","wednesday","8","264961","18.08","3.37"
"2023","green","wednesday","8","6472","17.78","19.54"
"2023","green","wednesday","9","6726","18.25","18.82"
"2023","yellow","wednesday","9","275797","18.61","4.18"
"2023","yellow","wednesday","10","276196","19.18","3.21"
"2023","green","wednesday","10","6533","18.73","38.96"
"2023","green","wednesday","11","6333","19.01","19.06"
"2023","yellow","wednesday","11","290360","19.73","3.55"
"2023","yellow","wednesday","12","310704","20.02","3.47"
"2023","green","wednesday","12","6107","19.02","10.76"
"2023","yellow","wednesday","13","318543","20.66","3.45"
"2023","green","wednesday","13","6340","18.97","13.0"
"2023","green","wednesday","14","7250","19.22","17.15"
"2023","yellow","wednesday","14","341581","21.43","4.04"
"2023","green","wednesday","15","8216","18.62","28.07"
"2023","yellow","wednesday","15","348439","21.17","4.85"
"2023","green","wednesday","16","8636","18.21","10.8"
"2023","yellow","wednesday","16","348935","21.23","3.64"
"2023","green","wednesday","17","9397","17.18","12.23"
"2023","yellow","wednesday","17","393681","19.77","3.3"
"2023","yellow","wednesday","18","425593","18.04","2.98"
"2023","green","wednesday","18","9039","16.06","8.08"
"2023","yellow","wednesday","19","381198","17.89","3.6"
"2023","green","wednesday","19","7226","15.85","8.9"
"2023","yellow","wednesday","20","348686","18.31","3.4"
"2023","green","wednesday","20","5271","16.25","22.25"
"2023","yellow","wednesday","21","355475","18.43","4.05"
"2023","green","wednesday","21","4485","18.68","4.71"
"2023","yellow","wednesday","22","316032","19.14","3.7"
"2023","green","wednesday","22","3636","20.25","7.25"
"2023","green","wednesday","23","2491","19.76","15.31"
"2023","yellow","wednesday","23","211655","20.66","4.22"
"2023","green","thursday","0","1579","19.26","3.55"
"2023","yellow","thursday","0","114969","20.76","4.25"
"2023","green","thursday","1","936","17.19","3.19"
